Nombre y tensión del nudo;Código Subestación;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO GENERACIÓN;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;CAPACIDAD DE ACCESO LIBERADA PARA SOLICITUDES DE AUTOCONSUMO SEGÚN  EL REAL DECRETO-LEY 7/2026;;;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso;;;;;;;;;;;;;;;
;;;A red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Limitación interna por configuración del nudo;Margen no ocupado;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Limitación por Posición;;;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;"Capacidad de acceso liberada para MGES 
[MW]";"Capacidad de acceso liberada para MPE 
[MW]";"Capacidad de acceso otorgada para MGES 
[MW]";"Capacidad de acceso otorgada para MPE 
[MW]";"Capacidad de acceso disponible para MGES 
[MW]";"Capacidad de acceso disponible para MPE 
[MW]";;;;;;;;;;;;;;;;;
;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;Capacidad máxima otorgable en el nudo;¿Existe limitación por posición?;Margen MGES;Margen MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;;;;;;
ROCIO 220;50504;Andalucía;;1;2;;375; N/A ;  ;197;730;E189_SEPE;392;807;E189_SEPE;554;1.121; N/A ;N/A;882;238;1;178;59;237;238;0;76;0;0;76;76;76;0;392;197;554;197;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;400;;247;197;392;197;554;197;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;44;20;0;0;44;20;Concurso;;;;;;;;;;;;;;;;
RODA DE ANDALUCIA 400;50505;Andalucía;1;;;;627; N/A ;  ;137;2.344;N/A;1.855;2.513;N/A;2.024;1.168; N/A ;1.168;678;490;0;490;0;490;490;0;0;0;0;0;0;0;0;678;137;678;137;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;110;110;678;137;678;137;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;68;14;0;0;68;14;Concurso;;;;;;;;;;;;;;;;
ROJALES 220;50506;Comunidad Valenciana;;1;3;;457; N/A ;  ;394;746;E187_SEPE;683;924;E187_SEPE;861;914; N/A ;N/A;851;63;0;63;0;63;63;0;24;0;0;24;24;24;0;683;394;851;394;Est_Gen_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;400;;400;394;683;394;851;394;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;68;39;0;0;68;39;Concurso;;;;;;;;;;;;;;;;
ROMICA 400;50507;Castilla-La Mancha;2;;2;;991; N/A ;  ;137;4.002;N/A;2.604;4.314;N/A;2.916;29; N/A ;10;0;1.399;91;853;454;1.307;1.399;0;5;0;0;5;5;5;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;1.200;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Concurso;;;;;;;;;;;;;;;;
RONDA 400;51288;Andalucía;;1;;;876; N/A ;  ;651;2.717;N/A;2.492;2.856;N/A;2.631;1.093; N/A ;1.093;868;225;0;225;0;225;225;0;0;0;0;0;0;0;0;868;651;868;651;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;375;375;868;651;868;651;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;87;65;0;0;87;65;Concurso;;;;;;;;;;;;;;;;
RUBI 400;50508;Cataluña;;1;;;574; N/A ;  ;346;2.168;E90_SEPE;2.119;2.438;E90_SEPE;2.210;759; N/A ;N/A;531;228;0;228;0;228;49;179;315;0;315;0;315;265;50;531;346;531;346;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;372;346;531;346;531;346;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;53;35;0;0;53;35;Concurso;;;;;;;;;;;;;;;;
RUBI 220;50508;Cataluña;;1;3;;815; N/A ;  ;647;974;E90_SEPE;830;1.160;E90_SEPE;980;804; N/A ;N/A;624;179;12;168;0;168;144;35;79;0;79;0;79;79;0;624;624;624;624;D_Nudo;D_Nudo;D_Nudo;D_Nudo;400;;267;267;624;624;624;624;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;62;62;0;0;62;62;Concurso;;;;;;;;;;;;;;;;
RUBIO 220;50509;Cataluña;1;;;;382; N/A ;  ;69;316;N/A;53;374;N/A;61;864; N/A ;N/A;551;313;0;313;0;313;263;50;187;0;187;0;187;0;187;53;53;61;61;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;400;;53;53;0;0;8;8;;53;53;0;0;53;53;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
RUEDA DE JALON 400;50510;Aragón;;1;;;686; N/A ;  ;437;1.632;E201_SEPE;1.382;2.004;E201_SEPE;1.754;1.211; N/A ;1.211;962;249;0;249;0;249;249;0;0;0;0;0;0;0;0;962;437;962;437;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;351;351;962;437;962;437;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;96;44;0;0;96;44;Concurso;;;;;;;;;;;;;;;;
S.AGUSTIN 220;50511;Galicia;2;;2;;269; N/A ;  ;211;174;E176_SEPE;15;193;E176_SEPE;35;1.209; N/A ;N/A;1.050;158;100;58;0;58;158;0;100;0;100;0;100;0;100;15;15;35;35;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;800;;15;15;0;0;20;20;;15;15;15;15;15;15;35;35;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SA POBLA 66;50512;Islas Baleares;;;2;;81; N/A ; Riesgo interacciones ;35;206;N/A;162;219;N/A;166;224; N/A ;N/A;172;53;0;47;6;53;44;9;0;0;0;0;0;0;0;162;35;166;35;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;162;35;0;0;0;0;;0;0;162;35;0;0;166;35;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SA VINYETA 66;50513;Islas Baleares;;;2;;58; N/A ; Riesgo interacciones ;40;81;E21_SEB;1;88;E21_SEB;1;226; N/A ;N/A;186;40;0;18;22;40;40;0;0;0;0;0;0;0;0;1;1;1;1;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;#¡VALOR!;;1;1;0;0;0;0;;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SABINAL 220;50754;Canarias;;;;;62; N/A ;  ;62;780;E06_SEC;780;809;E06_SEC;809;30; N/A ;N/A;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;30;30;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;;0;0;30;30;30;30;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SABINAL 66;50754;Canarias;;;;;52; N/A ;  ;52;603;E06_SEC;603;681;E06_SEC;681;30; N/A ;N/A;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;30;30;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;30;30;30;30;30;30;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SABIÑANIGO 220;50514;Aragón;;;4;;334; N/A ;  ;334;209;E21_SEPE, E333_SEPE;0;608;E21_SEPE, E333_SEPE;0;1.285; N/A ;N/A;935;350;291;0;60;60;350;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SABON 220;50515;Galicia;1;;4;;441; N/A ;  ;441;963;E244_SEPE;36;1.019;E244_SEPE;36;811; D10_SEPE ;N/A;0;576;473;0;104;104;549;27;382;382;0;0;0;382;0;0;0;0;0;D_Zona;D_Zona;D_Zona;D_Zona;400;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Concurso;;;;;;;;;;;;;;;;
LA SAGRERA 220;50516;Cataluña;;;;;61; N/A ;  ;61;754;E352_SEPE;754;761;E352_SEPE;761;820; N/A ;N/A;820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;754;61;761;61;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;754;61;761;61;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAGUNTO 220;50517;Comunidad Valenciana;;;2;;311; N/A ;  ;311;745;E183_SEPE, E344_SEPE;74;771;E183_SEPE, E344_SEPE;74;877; D70_SEPE ;N/A;600;252;59;0;193;193;252;0;854;0;0;854;854;36;818;74;74;74;74;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;74;74;74;74;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;7;7;0;0;7;7;Concurso;;;;;;;;;;;;;;;;
SAGUNTO GIS 220;50518;Comunidad Valenciana;;;2;;322; N/A ;  ;297;745;E183_SEPE, E344_SEPE;74;771;E183_SEPE, E344_SEPE;74;877; D70_SEPE ;N/A;600;25;0;25;0;25;6;20;0;0;0;0;0;0;0;74;74;74;74;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;74;74;74;74;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAGUNTUM 400;51432;Comunidad Valenciana;;;;;438; N/A ;  ;438;1.805;E358_SEPE;1.740;2.475;E358_SEPE;2.411;2.325; N/A ;625;2.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.740;438;2.325;438;Est_Gen_Zona;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;1.740;438;2.325;438;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAGUNTUM 220;51432;Comunidad Valenciana;;;;1;362; N/A ; Superación valor máx Icc ;297;1.249;E358_SEPE;1.184;1.578;E358_SEPE;1.513;872; N/A ;N/A;807;65;0;65;0;65;65;0;15;0;0;15;15;0;15;807;297;807;297;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;SI;0;0;807;297;807;297;Concurso por resolución SEE. Limitación de capacidad por posición;0;0;0;0;0;0;0;0;81;30;0;0;81;30;Concurso;;;;;;;;;;;;;;;;
SALADAS 220;50519;Comunidad Valenciana;;;2;;163; N/A ;  ;136;1.418;N/A;1.375;1.434;N/A;1.390;625; N/A ;N/A;582;44;0;27;16;44;44;0;0;0;0;0;0;0;0;582;136;582;136;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;0;0;0;0;;0;0;582;136;0;0;582;136;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SALAS 400;50520;Principado de Asturias;;1;1;;338; N/A ;  ;153;3.591;E6_SEPE;3.024;4.008;E6_SEPE;3.441;1.662; D26_SEPE ;831;379;567;309;185;72;257;567;0;0;0;0;0;0;0;0;379;153;379;153;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;600;;379;153;379;153;379;153;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;37;15;0;0;37;15;Concurso;;;;;;;;;;;;;;;;
SALERES 220;50772;Andalucía;;1;;2;298; N/A ;  ;287;904;N/A;511;927;N/A;511;1.157; N/A ;N/A;741;416;406;10;0;10;59;357;0;0;0;0;0;0;0;511;287;511;287;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;33;33;511;287;511;287;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;56;29;0;0;56;29;Concurso;;;;;;;;;;;;;;;;
SALINAS 66;50521;Canarias;11;;2;1;8; N/A ;  ;0;150;N/A;28;153;N/A;30;14; N/A ;N/A;0;217;173;8;35;43;217;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;WSCR_Nudo/D_Nudo;D_Nudo;WSCR_Nudo/D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SALLENTE 400;50522;Cataluña;4;;;;76; N/A ;  ;76;1.439;N/A;1.004;1.450;N/A;1.004;748; D23_SEPE ;N/A;4;446;446;0;0;0;0;446;0;0;0;0;0;0;0;4;4;4;4;D_Zona;D_Zona;D_Zona;D_Zona;2.400;;4;4;4;4;4;4;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Concurso;;;;;;;;;;;;;;;;
SALTERAS 220;50523;Andalucía;1;;;;582; N/A ;  ;292;577;N/A;287;631;N/A;341;1.032; N/A ;N/A;742;290;0;290;0;290;290;0;0;0;0;0;0;0;0;287;287;341;292;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;110;110;287;287;341;292;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;29;29;0;0;29;29;Concurso;;;;;;;;;;;;;;;;
SAN AGUSTIN BALEARES 66;50524;Islas Baleares;;;2;;121; N/A ; Riesgo interacciones ;74;96;N/A;70;117;N/A;70;219; N/A ;N/A;172;47;0;47;0;47;0;47;0;0;0;0;0;0;0;70;70;70;70;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;#¡VALOR!;;70;70;0;0;0;0;;0;0;70;70;0;0;70;70;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN AGUSTIN GC 66;50525;Canarias;;;2;;75; N/A ;  ;52;80;N/A;27;82;N/A;27;60; N/A ;N/A;6;54;0;23;32;54;38;16;0;0;0;0;0;0;0;6;6;6;6;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;6;6;0;0;0;0;;0;0;6;6;0;0;6;6;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN ANTONIO 66;50526;Islas Baleares;;;3;;2; N/A ;  ;2;176;E28_SEB;175;182;E28_SEB;181;221; N/A ;N/A;220;1;0;0;1;1;1;0;0;0;0;0;0;0;0;175;2;181;2;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;175;2;0;0;0;0;;0;0;175;2;0;0;181;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN BARTOLOME 66;50527;Canarias;;;2;;11; N/A ;  ;11;87;E29_SEC;56;89;E29_SEC;58;22; D05_SEC ;N/A;4;3;0;0;3;3;3;0;0;0;0;0;0;0;0;4;4;4;4;D_Zona;D_Zona;D_Zona;D_Zona;#¡VALOR!;;4;4;0;0;0;0;;0;0;4;4;0;0;4;4;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN CAYETANO 220;50528;Galicia;;;2;;294; N/A ;  ;294;406;N/A;398;447;N/A;427;1.283; N/A ;N/A;1.264;19;8;0;11;11;8;11;0;0;0;0;0;0;0;398;294;427;294;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;398;294;427;294;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;40;29;0;0;40;29;Concurso;;;;;;;;;;;;;;;;
SAN ESTEBAN 220;50529;Galicia;5;;;;407; N/A ;  ;407;872;N/A;422;899;N/A;448;1.233; N/A ;N/A;782;451;451;0;0;0;451;0;0;0;0;0;0;0;0;422;407;448;407;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;2.000;;422;407;422;407;448;407;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;42;41;0;0;42;41;Concurso;;;;;;;;;;;;;;;;
SAN FERNANDO 400;50756;Comunidad de Madrid;;1;;;1.313; N/A ;  ;866;755;E129_SEPE;308;831;E129_SEPE;384;596; N/A ;298;149;447;0;447;0;447;447;0;0;0;0;0;0;0;0;149;149;149;149;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;;0;0;149;149;149;149;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN FERNANDO 220;50756;Comunidad de Madrid;;;;1;408; N/A ;  ;408;545;E129_SEPE, E341_SEPE;308;603;E129_SEPE, E341_SEPE;384;770; D68_SEPE ;N/A;612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;308;308;384;384;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;308;308;384;384;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;31;31;0;0;31;31;Concurso;;;;;;;;;;;;;;;;
SAN ISIDRO 66;51314;Canarias;;1;;;78; N/A ;  ;53;128;N/A;103;136;N/A;111;57; N/A ;N/A;32;25;0;25;0;25;25;0;34;0;34;0;34;34;0;32;32;32;32;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;32;32;0;0;0;0;;32;32;0;0;32;32;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN JORGE 132;50530;Islas Baleares;;;;;3; N/A ; Riesgo interacciones ;3;234;E28_SEB;226;237;E28_SEB;237;219; N/A ;N/A;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;3;219;3;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;#¡VALOR!;;219;3;219;3;219;3;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN JORGE 66;50530;Islas Baleares;;;2;;3; N/A ;  ;3;95;E27_SEB, E28_SEB;88;97;E27_SEB, E28_SEB;88;219; N/A ;N/A;210;9;0;0;9;9;2;7;0;0;0;0;0;0;0;88;3;88;3;Est_Gen_Nudo/Est_Gen_Zona;WSCR_Nudo;Est_Alm_Nudo/Est_Alm_Zona;WSCR_Nudo;#¡VALOR!;;88;3;0;0;0;0;;0;0;88;3;0;0;88;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN JORGE 30;50530;Islas Baleares;;;;;1; N/A ;  ;1;54;E27_SEB, E28_SEB;54;55;E27_SEB, E28_SEB;55;219; N/A ;N/A;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;1;55;1;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;54;1;54;1;55;1;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN JUAN BALEARES 66;50531;Islas Baleares;;;3;;52; N/A ; Riesgo interacciones ;12;237;N/A;235;284;N/A;242;217; N/A ;N/A;175;42;0;40;2;42;2;40;0;0;0;0;0;0;0;175;12;175;12;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;#¡VALOR!;;175;12;0;0;0;0;;0;0;175;12;0;0;175;12;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN MARTIN BALEARES 220;50532;Islas Baleares;;;;;85; N/A ; Riesgo interacciones ;85;295;E07_SEB, E20_SEB;173;305;E07_SEB, E20_SEB;173;219; N/A ;N/A;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173;85;173;85;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;0;;0;0;173;85;173;85;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN MARTIN BALEARES 66;50532;Islas Baleares;;1;2;;100; N/A ; Riesgo interacciones ;0;173;E07_SEB, E20_SEB;67;180;E07_SEB, E20_SEB;67;219; N/A ;N/A;106;113;0;100;13;113;26;87;0;0;0;0;0;0;0;67;0;67;0;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;67;0;0;0;0;0;;67;0;67;0;67;0;67;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN MATEO 66;50533;Canarias;;;2;;74; N/A ;  ;47;156;N/A;132;160;N/A;132;28; N/A ;N/A;0;27;0;27;0;27;2;25;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN MIGUEL DE SALINAS 220;50534;Comunidad Valenciana;;;2;;242; W01_SEPE_BIN ;  ;224;930;E296_SEPE_Bin;912;1.305;E296_SEPE_Bin;1.287;903; D49_SEPE, D83_SEPE_Bin ;N/A;451;18;0;18;0;18;18;0;45;0;0;45;45;30;15;451;224;451;224;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;0;;0;0;451;224;451;224;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;45;22;0;0;45;22;Concurso;;;;;;;;;;;;;;;;
SAN MIGUEL DE SALINAS (SAN MIGUEL DE SALINAS B) 220;50534;Comunidad Valenciana;;;;;133; W01_SEPE_BIN ;  ;133;1.152;E273_SEPE, E296_SEPE_Bin;1.134;1.305;E273_SEPE, E296_SEPE_Bin;1.287;822; D83_SEPE_Bin ;N/A;451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;451;133;451;133;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;0;;0;0;451;133;451;133;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN PEDRO 220;50535;Galicia;1;;;;394; N/A ;  ;360;547;E174_SEPE;455;613;E174_SEPE;521;1.277; N/A ;N/A;1.185;91;58;34;0;34;91;0;0;0;0;0;0;0;0;455;360;521;360;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;309;309;455;360;521;360;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;46;36;0;0;46;36;Concurso;;;;;;;;;;;;;;;;
SAN PEDRO DEL PINATAR 220;50536;Región de Murcia;;1;3;;332; N/A ;  ;56;846;E188_SEPE;569;918;E188_SEPE;640;775; N/A ;N/A;497;278;2;276;0;276;278;0;0;0;0;0;0;0;0;497;56;497;56;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;400;;159;56;497;56;497;56;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;50;6;0;0;50;6;Concurso;;;;;;;;;;;;;;;;
SAN SERVAN 400;50537;Extremadura;;1;;;644; N/A ;  ;0;3.043;E109_SEPE, E269_SEPE, E327_SEPE;2.399;3.193;E109_SEPE, E269_SEPE, E327_SEPE;2.549;488; N/A ;488;0;644;0;644;0;644;644;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;SI;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
SAN SERVAN 220;50537;Extremadura;;1;;;728; N/A ;  ;339;639;E109_SEPE;250;827;E109_SEPE;438;1.124; N/A ;N/A;735;389;0;389;0;389;389;0;0;0;0;0;0;0;0;250;250;438;339;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;11;11;250;250;438;339;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;25;25;0;0;25;25;Concurso;;;;;;;;;;;;;;;;
SAN VICENTE 220;50538;Comunidad Valenciana;;;2;;485; N/A ;  ;393;1.203;E259_SEPE;973;1.333;E259_SEPE;1.103;633; N/A ;N/A;403;230;4;92;135;226;230;0;0;0;0;0;0;0;0;403;393;403;393;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;403;393;403;393;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;40;39;0;0;40;39;Concurso;;;;;;;;;;;;;;;;
