Nombre y tensión del nudo;Código Subestación;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO GENERACIÓN;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;CAPACIDAD DE ACCESO LIBERADA PARA SOLICITUDES DE AUTOCONSUMO SEGÚN  EL REAL DECRETO-LEY 7/2026;;;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso;;;;;;;;;;;;;;;
;;;A red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Limitación interna por configuración del nudo;Margen no ocupado;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Limitación por Posición;;;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;"Capacidad de acceso liberada para MGES 
[MW]";"Capacidad de acceso liberada para MPE 
[MW]";"Capacidad de acceso otorgada para MGES 
[MW]";"Capacidad de acceso otorgada para MPE 
[MW]";"Capacidad de acceso disponible para MGES 
[MW]";"Capacidad de acceso disponible para MPE 
[MW]";;;;;;;;;;;;;;;;;
;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;Capacidad máxima otorgable en el nudo;¿Existe limitación por posición?;Margen MGES;Margen MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;;;;;;
ALCORES 220;50017;Andalucía;;;4;;418; N/A ;  ;85;935;E298_SEPE, E42_SEPE;0;1.042;E298_SEPE, E42_SEPE;0;2.722; N/A ;1.022;2.047;675;17;333;325;658;670;5;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALCUDIA BALEARES 66;50018;Islas Baleares;;;3;;57; N/A ; Riesgo interacciones ;7;157;N/A;115;165;N/A;115;220; N/A ;N/A;170;50;0;50;0;50;0;50;0;0;0;0;0;0;0;115;7;115;7;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;115;7;0;0;0;0;;0;0;115;7;0;0;115;7;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALDAIA 220;50019;Comunidad Valenciana;;1;3;;584; N/A ;  ;569;365;E185_SEPE;332;438;E185_SEPE;381;869; N/A ;N/A;849;20;2;15;4;18;15;5;10;0;0;10;10;0;10;332;332;381;381;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;400;;332;332;332;332;381;381;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;33;33;0;0;33;33;Concurso;;;;;;;;;;;;;;;;
ALDEA BLANCA 66;50020;Canarias;1;;2;;94; N/A ;  ;13;135;E08_SEC;0;146;E08_SEC;0;10; N/A ;N/A;0;92;1;80;10;91;92;0;1;1;0;0;0;1;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALDEADAVILA 400;50021;Castilla y León;2;;;;1.209; N/A ;  ;1.209;1.481;E77_SEPE;748;2.255;E77_SEPE;1.094;0; N/A ;N/A;0;428;428;0;0;0;0;428;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;1.200;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALDEADAVILA 220;50021;Castilla y León;6;;;;860; N/A ;  ;860;1.481;E77_SEPE;748;2.162;E77_SEPE;1.094;231; N/A ;N/A;0;733;733;0;0;0;733;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;2.400;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALGECIRAS 220;50022;Andalucía;2;;3;;0; N/A ;  ;0;1.417;E350_SEPE;442;1.492;E350_SEPE;517;1.185; D91_SEPE ;N/A;210;975;975;0;0;0;975;0;20;0;20;0;20;20;0;210;0;210;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;800;SI;0;0;210;0;210;0;Concurso por resolución SEE. Limitación de capacidad por posición;0;0;0;0;0;0;0;0;21;0;0;0;21;0;Concurso;;;;;;;;;;;;;;;;
ALGECIRAS 132;50022;Andalucía;;;;;44; N/A ;  ;44;271;E349_SEPE, E350_SEPE;271;271;E349_SEPE, E350_SEPE;271;271; D91_SEPE ;271;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;44;210;44;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;#¡VALOR!;;0;0;210;44;210;44;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALGETE 220;50023;Comunidad de Madrid;;1;1;;429; N/A ;  ;429;747;N/A;747;810;N/A;810;903; N/A ;N/A;903;0;0;0;0;0;0;0;90;0;50;40;90;90;0;747;429;810;429;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;400;400;747;429;810;429;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;75;43;0;0;75;43;Concurso;;;;;;;;;;;;;;;;
ALHAURIN 220;50024;Andalucía;;1;3;;475; N/A ;  ;448;576;N/A;188;624;N/A;188;1.216; N/A ;N/A;780;435;58;27;351;378;162;273;30;0;0;30;30;30;0;188;188;188;188;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;400;;188;188;188;188;188;188;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;13;13;0;0;13;13;Concurso;;;;;;;;;;;;;;;;
ALI 220;50025;País Vasco;;;2;1;261; N/A ;  ;261;952;E335_SEPE;899;952;E335_SEPE;952;946; N/A ;N/A;946;0;0;0;0;0;0;0;88;0;0;88;88;88;0;899;261;946;261;Est_Gen_Zona;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;899;261;946;261;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;90;26;0;0;90;26;Concurso;;;;;;;;;;;;;;;;
ALJARAFE 220;50026;Andalucía;;;2;;574; N/A ;  ;487;692;N/A;469;749;N/A;526;2.029; N/A ;1.015;1.807;223;0;87;136;223;223;0;14;0;0;14;14;14;0;469;469;526;487;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;469;469;526;487;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;47;47;0;0;47;47;Concurso;;;;;;;;;;;;;;;;
ALMADEN 400;51411;Castilla-La Mancha;;;;;533; N/A ;  ;533;763;N/A;763;1.014;N/A;1.014;2.965; N/A ;1.265;2.965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;533;1.014;533;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;763;533;1.014;533;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALMARAZ CN 400;50027;Extremadura;2;1;;;2.036; N/A ;  ;1.154;3.146;E112_SEPE;308;3.784;E112_SEPE;946;0; N/A ;0;0;2.838;1.956;882;0;882;2.838;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;1.800;SI;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
